id,label,formids,users,roles,sortby,enumerators,caseid,province,municipality,barangay,zone,brgy_prefix,hh_resp_name,hh_resp_gender,hh_head
H030069008,H030069008-Florencia De Leon Del Rosario,ICM_follow_up_launch,Closed,,,,H030069008,ILOILO,DINGLE,Gutao,Beri,H030069,Florencia De Leon Del Rosario,,Reynaldo Cruz Delos Reyes
H030069016,H030069016-Danilo Aquino Ocampo,ICM_follow_up_launch,Closed,,,,H030069016,ILOILO,DINGLE,Gutao,,H030069,Danilo Aquino Ocampo,,Danilo Aquino Ocampo
H030069017,H030069017-Rafael Aquino De Jesus,ICM_follow_up_launch,Closed,,,,H030069017,ILOILO,DINGLE,Gutao,,H030069,Rafael Aquino De Jesus,,Rafael Aquino De Jesus
H030069018,H030069018-Erlinda Ramos Cruz,ICM_follow_up_launch,Closed,,,,H030069018,ILOILO,DINGLE,Gutao,,H030069,Erlinda Ramos Cruz,,Eduardo Morales Lapuz
H030069019,H030069019-Carmen Torres Buenaventura,ICM_follow_up_launch,Closed,,,,H030069019,ILOILO,DINGLE,Gutao,,H030069,Carmen Torres Buenaventura,,Carmen Torres Buenaventura
H030069021,H030069021-Roque Garcia Santos,ICM_follow_up_launch,Closed,,,,H030069021,ILOILO,DINGLE,Gutao,,H030069,Roque Garcia Santos,,Elena Cruz Delos Reyes
H030069022,H030069022-Armando Garcia Torres,ICM_follow_up_launch,Closed,,,,H030069022,ILOILO,DINGLE,Gutao,,H030069,Armando Garcia Torres,,Armando Garcia Torres
H030069023,H030069023-Luz Dela Cruz Morales,ICM_follow_up_launch,Closed,,,,H030069023,ILOILO,DINGLE,Gutao,,H030069,Luz Dela Cruz Morales,,Gloria Flores Pascual
H030069024,H030069024-Grace Macapagal Bautista,ICM_follow_up_launch,Closed,,,,H030069024,ILOILO,DINGLE,Gutao,,H030069,Grace Macapagal Bautista,,Grace Macapagal Bautista
H030069025,H030069025-Remedios Morales Lapuz,ICM_follow_up_launch,Closed,,,,H030069025,ILOILO,DINGLE,Gutao,,H030069,Remedios Morales Lapuz,,Ana Morales Manalang
H030069026,H030069026-Grace Bautista Evangelista,ICM_follow_up_launch,Closed,,,,H030069026,ILOILO,DINGLE,Gutao,,H030069,Grace Bautista Evangelista,,Ana Bautista Villanueva
H030069027,H030069027-Zenaida Espiritu De Jesus,ICM_follow_up_launch,Closed,,,,H030069027,ILOILO,DINGLE,Gutao,,H030069,Zenaida Espiritu De Jesus,,Zenaida Espiritu De Jesus
H030069028,H030069028-Linda Castillo Ocampo,ICM_follow_up_launch,Closed,,,,H030069028,ILOILO,DINGLE,Gutao,,H030069,Linda Castillo Ocampo,,Raul Gomez Reyes
H030069029,H030069029-Mario Villanueva Delos Reyes,ICM_follow_up_launch,Closed,,,,H030069029,ILOILO,DINGLE,Gutao,,H030069,Mario Villanueva Delos Reyes,,Mario Villanueva Delos Reyes
H030069030,H030069030-Norma Luna Espiritu,ICM_follow_up_launch,Closed,,,,H030069030,ILOILO,DINGLE,Gutao,,H030069,Norma Luna Espiritu,,Purificacion Evangelista Aquino
H030069031,H030069031-Pacita Cruz Castillo,ICM_follow_up_launch,Closed,,,,H030069031,ILOILO,DINGLE,Gutao,,H030069,Pacita Cruz Castillo,,Pacita Cruz Castillo
H030069032,H030069032-Renato Del Rosario Dela Torre,ICM_follow_up_launch,Closed,,,,H030069032,ILOILO,DINGLE,Gutao,,H030069,Renato Del Rosario Dela Torre,,Purificacion Evangelista Castillo
H030069033,H030069033-Purificacion Manalang Gomez,ICM_follow_up_launch,tester1,,,,H030069033,ILOILO,DINGLE,Gutao,,H030069,Purificacion Manalang Gomez,,Norma Bautista San Pedro
H030069034,H030069034-Ruben Lopez Cruz,ICM_follow_up_launch,Closed,,,,H030069034,ILOILO,DINGLE,Gutao,,H030069,Ruben Lopez Cruz,,Pedro Garcia Delos Reyes
H030069035,H030069035-Elvira Ramos Castillo,ICM_follow_up_launch,Closed,,,,H030069035,ILOILO,DINGLE,Gutao,,H030069,Elvira Ramos Castillo,,Renato Bautista Dela Torre
H030243016,H030243016-Danilo Morales Evangelista,ICM_follow_up_launch,Closed,,,,H030243016,ILOILO,POTOTAN,Dawis,,H030243,Danilo Morales Evangelista,,Danilo Morales Evangelista
H030243017,H030243017-Marita Buenaventura Dela Torre,ICM_follow_up_launch,Closed,,,,H030243017,ILOILO,POTOTAN,Dawis,,H030243,Marita Buenaventura Dela Torre,,Marita Buenaventura Dela Torre
H030243018,H030243018-Faith Cruz De Jesus,ICM_follow_up_launch,Closed,,,,H030243018,ILOILO,POTOTAN,Dawis,,H030243,Faith Cruz De Jesus,,Faith Cruz De Jesus
H030243019,H030243019-Corazon Buenaventura Garcia,ICM_follow_up_launch,Closed,,,,H030243019,ILOILO,POTOTAN,Dawis,,H030243,Corazon Buenaventura Garcia,,Corazon Buenaventura Garcia
H030243020,H030243020-Visitacion Lopez Reyes,ICM_follow_up_launch,Closed,,,,H030243020,ILOILO,POTOTAN,Dawis,,H030243,Visitacion Lopez Reyes,,Visitacion Lopez Reyes
H030243021,H030243021-Maricel Espiritu Manalang,ICM_follow_up_launch,Closed,,,,H030243021,ILOILO,POTOTAN,Dawis,,H030243,Maricel Espiritu Manalang,,Remedios Evangelista Dela Torre
H030243022,H030243022-Rosa Buenaventura Castillo,ICM_follow_up_launch,Closed,,,,H030243022,ILOILO,POTOTAN,Dawis,,H030243,Rosa Buenaventura Castillo,,Elvira Castillo Mendoza
H030243023,H030243023-Marilou Pascual Aquino,ICM_follow_up_launch,Closed,,,,H030243023,ILOILO,POTOTAN,Dawis,,H030243,Marilou Pascual Aquino,,Marilou Pascual Aquino
H030243024,H030243024-Rosario Dela Cruz Del Rosario,ICM_follow_up_launch,Closed,,,,H030243024,ILOILO,POTOTAN,Dawis,,H030243,Rosario Dela Cruz Del Rosario,,Rosario Dela Cruz Del Rosario
H030243025,H030243025-Rogelio Ramos Macaraeg,ICM_follow_up_launch,Closed,,,,H030243025,ILOILO,POTOTAN,Dawis,,H030243,Rogelio Ramos Macaraeg,,Erlinda Aquino Santos
H030243026,H030243026-Leonora Morales Manalang,ICM_follow_up_launch,Closed,,,,H030243026,ILOILO,POTOTAN,Dawis,,H030243,Leonora Morales Manalang,,Leonora Morales Manalang
H030243027,H030243027-Imelda Villanueva De Guzman,ICM_follow_up_launch,Closed,,,,H030243027,ILOILO,POTOTAN,Dawis,,H030243,Imelda Villanueva De Guzman,,Imelda Villanueva De Guzman
H030243028,H030243028-Rodolfo Santos Flores,ICM_follow_up_launch,Closed,,,,H030243028,ILOILO,POTOTAN,Dawis,,H030243,Rodolfo Santos Flores,,Natividad Espiritu Morales
H030243029,H030243029-Leonora Santos Villanueva,ICM_follow_up_launch,Closed,,,,H030243029,ILOILO,POTOTAN,Dawis,,H030243,Leonora Santos Villanueva,,Leonora Santos Villanueva
H030243030,H030243030-Lourdes Mendoza Morales,ICM_follow_up_launch,Closed,,,,H030243030,ILOILO,POTOTAN,Dawis,,H030243,Lourdes Mendoza Morales,,Lourdes Mendoza Morales
H030243032,H030243032-Edna Macapagal Del Rosario,ICM_follow_up_launch,Closed,,,,H030243032,ILOILO,POTOTAN,Dawis,,H030243,Edna Macapagal Del Rosario,,Edna Macapagal Del Rosario
H030243033,H030243033-Ramon Reyes Aquino,ICM_follow_up_launch,Closed,,,,H030243033,ILOILO,POTOTAN,Dawis,,H030243,Ramon Reyes Aquino,,Ramon Reyes Aquino
H030243034,H030243034-Fernando Lapuz Gomez,ICM_follow_up_launch,Closed,,,,H030243034,ILOILO,POTOTAN,Dawis,,H030243,Fernando Lapuz Gomez,,Fernando Lapuz Gomez
H030243035,H030243035-Nenita Manalang Ramos,ICM_follow_up_launch,Closed,,,,H030243035,ILOILO,POTOTAN,Dawis,,H030243,Nenita Manalang Ramos,,Rosario Bautista Panganiban
H030769016,H030769016-Adoracion Manalang Mendoza,ICM_follow_up_launch,Closed,,,,H030769016,ILOILO,BAROTAC NUEVO,Patag,,H030769,Adoracion Manalang Mendoza,,Adoracion Manalang Mendoza
H030769017,H030769017-Gina Torres De la Rosa,ICM_follow_up_launch,Closed,,,,H030769017,ILOILO,BAROTAC NUEVO,Patag,,H030769,Gina Torres De la Rosa,,Gina Torres De la Rosa
H030769018,H030769018-Marilou Luna San Pedro,ICM_follow_up_launch,Closed,,,,H030769018,ILOILO,BAROTAC NUEVO,Patag,,H030769,Marilou Luna San Pedro,,Ricardo Macapagal Aquino
H030769019,H030769019-Reynaldo Reyes Magsaysay,ICM_follow_up_launch,Closed,,,,H030769019,ILOILO,BAROTAC NUEVO,Patag,,H030769,Reynaldo Reyes Magsaysay,,Estela Magsaysay Cruz
H030769020,H030769020-Faith Espiritu Pascual,ICM_follow_up_launch,Closed,,,,H030769020,ILOILO,BAROTAC NUEVO,Patag,,H030769,Faith Espiritu Pascual,,Visitacion Magsaysay Delos Reyes
H030769021,H030769021-Roque Lopez Ramos,ICM_follow_up_launch,Closed,,,,H030769021,ILOILO,BAROTAC NUEVO,Patag,,H030769,Roque Lopez Ramos,,Fernando Gomez Luna
H030769022,H030769022-Adoracion Mendoza Dela Cruz,ICM_follow_up_launch,Closed,,,,H030769022,ILOILO,BAROTAC NUEVO,Patag,,H030769,Adoracion Mendoza Dela Cruz,,Adoracion Mendoza Dela Cruz
H030769023,H030769023-Roberto Buenaventura Macaraeg,ICM_follow_up_launch,Closed,,,,H030769023,ILOILO,BAROTAC NUEVO,Patag,,H030769,Roberto Buenaventura Macaraeg,,Danilo Ramos Reyes
H030769024,H030769024-Roque Lopez De la Rosa,ICM_follow_up_launch,Closed,,,,H030769024,ILOILO,BAROTAC NUEVO,Patag,,H030769,Roque Lopez De la Rosa,,Leonora Dela Cruz Flores
H030769025,H030769025-Teresita De Leon Aquino,ICM_follow_up_launch,Closed,,,,H030769025,ILOILO,BAROTAC NUEVO,Patag,,H030769,Teresita De Leon Aquino,,Rogelio Torres Villanueva
H030769026,H030769026-Romulo Mendoza De Jesus,ICM_follow_up_launch,Closed,,,,H030769026,ILOILO,BAROTAC NUEVO,Patag,,H030769,Romulo Mendoza De Jesus,,Teresita Reyes Reyes
H030769027,H030769027-Luz Macaraeg Bautista,ICM_follow_up_launch,Closed,,,,H030769027,ILOILO,BAROTAC NUEVO,Patag,,H030769,Luz Macaraeg Bautista,,Teresita Magsaysay Ocampo
H030769028,H030769028-Asuncion Gomez Macaraeg,ICM_follow_up_launch,Closed,,,,H030769028,ILOILO,BAROTAC NUEVO,Patag,,H030769,Asuncion Gomez Macaraeg,,Gina De Leon Macaraeg
H030769029,H030769029-Cynthia Buenaventura Panganiban,ICM_follow_up_launch,Closed,,,,H030769029,ILOILO,BAROTAC NUEVO,Patag,,H030769,Cynthia Buenaventura Panganiban,,Incarnacion Aquino Garcia
H030769030,H030769030-Ana Delos Reyes Luna,ICM_follow_up_launch,Closed,,,,H030769030,ILOILO,BAROTAC NUEVO,Patag,,H030769,Ana Delos Reyes Luna,,Zenaida Lapuz De la Rosa
H030769032,H030769032-Visitacion Torres Bautista,ICM_follow_up_launch,Closed,,,,H030769032,ILOILO,BAROTAC NUEVO,Patag,,H030769,Visitacion Torres Bautista,,Imelda Gomez De Jesus
H030769033,H030769033-Rodolfo Buenaventura De Guzman,ICM_follow_up_launch,Closed,,,,H030769033,ILOILO,BAROTAC NUEVO,Patag,,H030769,Rodolfo Buenaventura De Guzman,,Rodolfo Buenaventura De Guzman
H030769035,H030769035-Imelda Dela Cruz Gomez,ICM_follow_up_launch,Closed,,,,H030769035,ILOILO,BAROTAC NUEVO,Patag,,H030769,Imelda Dela Cruz Gomez,,Imelda Reyes Bautista
H019505011,H019505011-Resurreccion Flores Espiritu,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505011,CAPIZ,SIGMA,Matangcong,Proper,H019505,Resurreccion Flores Espiritu,,Resurreccion Flores Espiritu
H019505016,H019505016-Cristina Buenaventura Pascual,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505016,CAPIZ,SIGMA,Matangcong,,H019505,Cristina Buenaventura Pascual,,Cristina Buenaventura Pascual
H019505017,H019505017-Hope Bautista Macaraeg,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505017,CAPIZ,SIGMA,Matangcong,,H019505,Hope Bautista Macaraeg,,Hope Bautista Macaraeg
H019505018,H019505018-Consuelo Flores Panganiban,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505018,CAPIZ,SIGMA,Matangcong,,H019505,Consuelo Flores Panganiban,,Consuelo Flores Panganiban
H019505019,H019505019-Leonora Villanueva Magsaysay,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505019,CAPIZ,SIGMA,Matangcong,,H019505,Leonora Villanueva Magsaysay,,Leonora Villanueva Magsaysay
H019505020,H019505020-Dolores Santos Cruz,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505020,CAPIZ,SIGMA,Matangcong,,H019505,Dolores Santos Cruz,,Ricardo Panganiban Aquino
H019505023,H019505023-Ramon Lopez Espiritu,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505023,CAPIZ,SIGMA,Matangcong,,H019505,Ramon Lopez Espiritu,,Ramon Lopez Espiritu
H019505025,H019505025-Erlinda Espiritu De Jesus,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505025,CAPIZ,SIGMA,Matangcong,,H019505,Erlinda Espiritu De Jesus,,Fernando Morales Dela Cruz
H019505026,H019505026-Ana Manalang Ramos,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505026,CAPIZ,SIGMA,Matangcong,,H019505,Ana Manalang Ramos,,Estela Cruz Evangelista
H019505027,H019505027-Ernesto Reyes Delos Reyes,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505027,CAPIZ,SIGMA,Matangcong,,H019505,Ernesto Reyes Delos Reyes,,Remedios De Leon Buenaventura
H019505029,H019505029-Rogelio Ramos Luna,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505029,CAPIZ,SIGMA,Matangcong,,H019505,Rogelio Ramos Luna,,Rogelio Ramos Luna
H019505030,H019505030-Milagros Lopez Aquino,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505030,CAPIZ,SIGMA,Matangcong,,H019505,Milagros Lopez Aquino,,Milagros Lopez Aquino
H019505031,H019505031-Asuncion Santos Flores,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505031,CAPIZ,SIGMA,Matangcong,,H019505,Asuncion Santos Flores,,Asuncion Santos Flores
H019505032,H019505032-Carmen Bautista Panganiban,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505032,CAPIZ,SIGMA,Matangcong,,H019505,Carmen Bautista Panganiban,,Alfredo Panganiban Castillo
H019505033,H019505033-Natividad Delos Reyes Panganiban,"ICM_follow_up_launch,ICM_Business_linked_launch",team_e,,,,H019505033,CAPIZ,SIGMA,Matangcong,,H019505,Natividad Delos Reyes Panganiban,,Natividad Delos Reyes Panganiban
H019575016,H019575016-Adoracion Lopez Gomez,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575016,CAPIZ,SIGMA,Oyong,,H019575,Adoracion Lopez Gomez,,Adoracion Lopez Gomez
H019575017,H019575017-Cristina Buenaventura Macaraeg,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575017,CAPIZ,SIGMA,Oyong,,H019575,Cristina Buenaventura Macaraeg,,Cristina Buenaventura Macaraeg
H019575018,H019575018-Ruben Santos Luna,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575018,CAPIZ,SIGMA,Oyong,,H019575,Ruben Santos Luna,,Ruperto Luna Flores
H019575019,H019575019-Hope Panganiban Villanueva,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575019,CAPIZ,SIGMA,Oyong,,H019575,Hope Panganiban Villanueva,,Rowena Evangelista Pascual
H019575020,H019575020-Imelda Delos Reyes Dela Torre,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575020,CAPIZ,SIGMA,Oyong,,H019575,Imelda Delos Reyes Dela Torre,,Lorna Gomez Santos
